,Yearday,Weekday,Workday,Time,Home,Work,Work_Visit,Bringing,Education,Shop,Visit,Wandering,Hobby,Leisure,Personal_Care,Other,Driving_to_Home,Driving_to_Work,Driving_to_Work_Visit,Driving_to_Bringing,Driving_to_Education,Driving_to_Shop,Driving_to_Visit,Driving_to_Wandering,Driving_to_Hobby,Driving_to_Leisure,Driving_to_Personal_Care,Driving_to_Other
0,1,6,False,00:00,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,6,False,00:15,45000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,6,False,00:30,44620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,0,0
3,1,6,False,00:45,44620,0,0,0,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,150,0,0
4,1,6,False,01:00,44620,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,73,0,0
5,1,6,False,01:15,44620,0,0,0,0,0,0,0,0,338,0,0,0,0,0,0,0,0,0,0,0,42,0,0
6,1,6,False,01:30,44620,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,20,0,0
7,1,6,False,01:45,44620,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,12,0,0
8,1,6,False,02:00,44241,0,0,0,0,0,0,0,0,372,0,0,0,0,0,379,0,0,0,0,0,8,0,0
9,1,6,False,02:15,44032,0,0,349,0,0,0,0,0,380,0,0,0,0,0,239,0,0,0,0,0,0,0,0
10,1,6,False,02:30,44032,0,0,561,0,0,0,0,0,380,0,0,0,0,0,27,0,0,0,0,0,0,0,0
11,1,6,False,02:45,44032,0,0,583,0,0,0,0,0,380,0,0,0,0,0,5,0,0,0,0,0,0,0,0
12,1,6,False,03:00,44032,0,0,588,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,6,False,03:15,44032,0,0,588,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0
